,courseNum,courseName,description
10,EN50011301,Gateway Computing: Python,"This course introduces fundamental programming concepts and techniques, and is intended for all who plan to develop computational artifacts or intelligently deploy computational tools in their studies and careers. Topics covered include the design and implementation of algorithms using variables, control structures, arrays, functions, files, testing, debugging, and structured program design. Elements of object-oriented programming. algorithmic efficiency and data visualization are also introduced. Students deploy programming to develop working solutions that address problems in engineering, science and other areas of contemporary interest that vary from section to section. Course homework involves significant programming. Attendance and participation in class sessions are expected."
11,EN53040301,MechE Senior Design Project I,"Prereq: ME Majors: 530.215, 530.327   EM & BME Majors: 530.215 or 530.405, and 530.327   
This senior year “capstone design” course is intended to give some practice and experience in the art of engineering design. Students working in teams of two to four will select a small-scale, industry-suggested design problem in the area of small production equipment, light machinery products, or manufacturing systems and methods. A solution to the problem is devised and constructed by the student group within limited time and cost boundaries. Preliminary oral reports of the proposed solution are presented at the end of the first semester or sooner. A final device, product, system, or method is presented orally and in writing at the end of the second semester. Facilities of the Engineering Design Laboratory (including machine shop time) and a specified amount of money are allocated to each student design team for purchases of parts, supplies, and machine shop time where needed."
12,EN55317201,Honors Discrete Mathematics,"Introduction to the mathematics of finite systems. Logic; Boolean algebra; induction and recursion; sets, functions, relations, equivalence, and partially ordered sets; elementary combinatorics; modular arithmetic and the Euclidean algorithm; polynomials rings, group theory; permutations groups and Galois theory; graph theory. Selected applications. The concept of a proof and development of the ability to recognize and construct proofs and analyze algorithms are part of the course. Recommended Course Background: Four years of high school mathematics."
13,EN53041001,Biomechanics of the Cell,"Mechanical aspects of the cell are introduced using the concepts in continuum mechanics.  Discussion of the role of proteins, membranes and cytoskeleton in cellular function and how to describe them using simple mathematical models.  Co-listed as 580.448"
14,EN60147601,Machine Learning: Data to Models,"How can robots localize themselves in an environment when navigating? Can we predict which patients are at greatest-risk for complications in the hospital? Which movie should I recommend to this user given his history of likes? Many such big data questions can be answered using the paradigm of probabilistic models in machine learning. These are especially useful when common off-the-shelf algorithms such as support vector machines and k-means fail. You will learn methods for clustering, classification, structured prediction, recommendation and inference. We will use Murphy's book, Machine Learning: a Probabilistic Perspective, as the text for this course. Assignments are solved in groups of size 1-3 students. The class will have 4 interactive sessions during which we brainstorm how to solve example open-ended real-world problems with the tools learnt in class. Students are also required to do a project of their choice within which they experiment with the ideas learnt in class. [Analysis or Applications] Prerequistes include Intro Prob/Stat, Linear Algebra and Intro Machine Learning as well as strong background in s."
15,EN53023101,Mechanical Engineering Thermodynamics,"Prereq: 110.109; Coreq: 171.102  -  Properties of pure substances, phase equilibrium, equations of state. First law, control volumes, conservation of energy. Second law, entropy, efficiency, reversibility. Carnot and Rankine cycles. Internal combustion engines, gas turbines. Ideal gas mixtures, air-vapor mixtures. Introduction to combustion."
16,EN58041101,Design Team Health-Tech Project I,Perm. Req’d.  Senior-level version of 580.311-312.
17,EN60144701,Computational Genomics: Sequences,"Your genome is the blueprint for the molecules in your body. It's also a string of letters (A, C, G and T) about 3 billion letters long. How does this string give rise to you? Your heart, your brain, your health? This, broadly speaking, is what genomics research is about. This course will familiarize you with a breadth of topics from the field of computational genomics. The emphasis is on current research problems, real-world genomics data, and efficient software implementations for analyzing data. Topics will include: string matching, sequence alignment and indexing, assembly, and sequence models. Course will involve significant programming projects. [Applications]"
18,EN58045601,Introduction to Rehabilitation Engineering,"The primary objective of this course is to introduce biomedical engineering students to the challenges of engineering solutions for persons functioning with disabilities.  In order to achieve this goal, other objectives include:  gaining a basic appreciation of the modalities used to treat impairments, the opportunities for application of engineering to improve treatment delivery, understanding the science and engineering applied to helping persons with disabilities function in the everyday world and an basic knowledge of the legal, ethical issues and employment opportunities in rehabilitation engineering.
By the conclusion of the course, students should be able to:
• Understand the breadth and scope of physical impairment and disability and its associated pathophysiology
• Characterize the material and design properties of current modalities of treatment of impairments and adaptations for disability
• Apply engineering analysis and design principles to critique current and design new solutions for persons with disabilities"
19,EN53042701,Intermediate Fluid Mechanics,"Linear and angular momentum in integral form, applications to turbomachines. The Navier-Stokes equations. Inviscid flow. Laminar viscous flow. Boundary layers. Turbulence. Compressible flows. Projects using computational tools, design of pipe network."
20,EN58044701,Computational Stem Cell Biology,"This course will provide the student with a mechanistic and systems biology-based understanding of the two defining features of stem cells: multipotency and self-renewal. We will explore these
 concepts across several contexts and perspectives, emphasizing seminal and new studies in development and stem cell biology, and the critical role that computational approaches have played. The course will start with an introduction to stem cells and a tutorial covering computational basics. The biological contexts that we will cover thereafter include ""Cell Identity"", ""Pluripotency and multipotency"", ""Stem cells and their niche"", ""Modeling cell fate decisions"", and ""Engineering cell fate"". This class is heavily weighted by individual computational assignments. The motivation for this strategy is that regularly occurring, moderately-sized computational projects are the most efficient way to impart an understanding of our models of this extraordinary class of cells, and to inspire a sense of excitement and empowerment.  Preferred background: familiarity with the UNIX shell.  Recommended Background: EN.580.221 - Molecules and Cells or Equivalent."
21,EN58045401,Methods in Nucleic Acid Sequencing Lab,"Sequencing technology is a rapidly progressing field that requires experience in both wet (molecular biology) and dry (computational analysis) techniques. This laboratory course will consist of three experimental modules that will provide students with valuable hands-on experience in DNA sequencing and analysis. Students will learn basic sequencing library preparation, perform sequencing experiments and analyze the resulting data. Experiments include human targeted sequencing, metagenomic sequencing and genome assembly.  
This course will run the first half of the spring term."
22,EN55344501,Interest Rate and Credit Derivatives,"Advances in corporate finance, investment practice and the capital markets have been driven by the development of a mathematically rigorous theory for financial instruments and the markets in which they trade. This course builds on the concepts, techniques, instruments and markets introduced in EN.553.444. In addition to new topics in credit enhancement and structured securities, the focus is expanded to include applications in portfolio theory and risk management, and covers some numerical and computational approaches."
23,EN53046901,Locomotion Mechanics: Recent Advances,"This upper level undergraduate and graduate class will discuss recent advances in the mechanics of animal and bio-inspired robot locomotion in complex environments. All of the topics covered are from cutting edge research over the last 20 years, with many still being active research areas. General principles and integration of knowledge from engineering, biology, and physics will be emphasized.
 
Sample topics include: How do geckos adhere to and climb over almost any surfaces? How do all kinds of animals use tails in novel ways to quickly maneuver in the air and on the ground? How do sandfish lizards burrow into and swim under sand? How do sidewinder snakes crawl up steep sand dunes without triggering an avalanche? How do large ants colonies dig and live in narrow tunnels without trapping themselves in traffic jams? Why do legged and snake robots struggle on sand and rubble, whereas insects, lizards, and snakes traverse similar terrain at ease? Why do insects rotate their wings while flapping to fly? How do soft-bodied worms move and how can we make better soft robots? How do cockroaches survive after squeezing through gaps with pressure several hundreds of their body weight? How do water striders walk on water and why can’t we do it?

All these fundamental studies of interesting biological locomotion phenomena have led to bio-inspired robots that use the same physics principles to move in complex environments, with performance approaching that of animals.

Students from ME, Robotics, and other programs are all welcome. Freshmen and sophomores with sufficient physics background may take with instructor approval. Students should have a strong understanding of Newtonian mechanics.

Recommended background: 
B or higher in EN.530.202 Dynamics or EN.560.202 Dynamics.

Closely-related courses:
EN.530.468/668 Locomotion Mechanics: Fundamentals
EN.530.676 Locomotion Dynamics and Control

Visit https://li.me.jhu.edu/teaching for more information."
24,EN55343001,Introduction to Statistics,"Introduction to the basic principles of statistical reasoning and data analysis. Emphasis on techniques of application. Classical parametric estimation, hypothesis testing, and multiple decision problems; linear models, analysis of variance, and regression; nonparametric and robust procedures; decision-theoretic setting, Bayesian methods."
25,EN56043401,Structural Fire Engineering,"This course will discuss the analysis and design of structures exposed to fire. It will cover the fundamentals of fire behavior, heat transfer, the effects of fire loading on materials and structural systems, and the principles and design methods for fire resistance design. Particular emphasis will be placed on the advanced modeling and computational tools for performance-based design. Applications of innovative methods for fire resistance design in large structural engineering projects, such as stadiums and tall buildings, will also be presented.   Course is co-listed with graduate-level EN.560.635."
26,EN58024201,Biological Models and Simulations,"This course introduces students to modeling and analysis of linear biological systems.  Topics include viscoelastic materials, pharmacokinetics, reaction-diffusion-convection equation with applications to molecular transport in tissues.  The course also introduces students to the Matlab programming language, which allows them to implement the models discussed in the classroom.  Recommended course background: AS.110.201 Linear Algebra, AS.110.302 Differential Equations, or EN.553.291 Linear Algebra and Differential Equations."
27,EN58040801,Design Team Leader Project Management,"This course prepares undergraduate students to lead teams for the subsequent Design Teams course. This course will teach leadership skills, expose students to project options and clinical sponsors, and prepare them to plan and execute a biomedical design project.  Course will meet in the Clark Hall Design Studio and the Carnegie Building (SoM) Design Studio."
28,EN60148201,Machine Learning: Deep Learning,"Deep learning (DL) has emerged as a powerful tool for solving data-intensive learning problems such as supervised learning for classification or regression, dimensionality reduction, and control. As such, it has a broad range of applications including speech and text understanding, computer vision, medical imaging, and perception-based robotics. The goal of this course is to introduce the basic concepts of deep learning (DL). The course will include a brief introduction to the basic theoretical and methodological underpinnings of machine learning, commonly used architectures for DL, DL optimization methods, DL programming systems, and specialized applications to computer vision, speech understanding, and robotics. Students will be expected to solve several DL problems on standardized data sets, and will be given the opportunity to pursue team projects on topics of their choice. [Applications] 
Students should also consider taking EN.601.382 Deep Learning Lab as a supplement. Students may choose to skip the lab course if they already have a strong programming background and are comfortable learning on their own using online resources and tutorials.
Pre-req: (AS.110.201 or AS.110.212 or EN.553.291) and (EN.553.310 EN.553.311 or EN.553.420); numerical optimization recommended."
29,EN53041401,Computer-Aided Design,"The course outlines a modern design platform for 3D modeling, analysis, simulation, and manufacturing of mechanical systems using the “Pro/E” package by PTC. 
The package includes the following components: 
• Pro/ENGINEER: is the kernel of the design process, spanning the entire product development, from     creative concept through detailed product definition to serviceability.
• Pro/MECHANICA: is the main analysis & simulation component for kinematic, dynamic, structural, thermal and durability performance.
• Pro/NC: is a numeric-control manufacturing package. This component provides NC programming capabilities and tool libraries. It creates programs for a large variety of CNC machine tools. 

"
30,EN53047401,Effective and Economic Design for Biomedical Instrumentation,"This course is to introduce students to the design, practice,  and devices used in biomedical research. The class will be divided into two parts: lecture and lab. In the lectures, students will learn the physics behind the device, the specific requirements of biomedical instruments, and the engineering principles to construct the devices.  Lab sessions will focus on designing and building a prototype device.  This course aims to forge collaboration between biomedical researchers and mechanical engineers.  The goal is to make the devices accessible to the biomedical research community as well as the general public.  Economical availability will be one of the critical elements in the device design. Students will be encouraged to build the devices within a healthy budget.
PREREQUISITES:  Introductory Physics, Programming, and CAD"
31,EN53010801,MechE Undergraduate Seminar II,"A series of weekly seminars to inform students about careers in mechanical engineering and to discuss technological, social, ethical, legal, and economic issues relevant to the profession. Part 2 of a year-long sequence."
32,EN56024001,"Uncertainty, Reliability and Decision-making","Development and applications of the analysis of uncertainty, including basic probability, statistics and decision theory, with applications in various engineering disciplines, with some emphasis on problems in civil and systems engineering."
33,EN58041301,Design Team Leader I,Perm. Req’d.   A two-semester sequence where leaders direct a team of undergraduate biomedical engineering students in a series of design problems. Prior design team experience and permission of course director required.
34,EN55329101,Linear Algebra and Differential Equations,"An introduction to the basic concepts of linear algebra, matrix theory, and differential equations that are used widely in modern engineering and science. Intended for engineering and science majors whose program does not permit taking both AS.110.201 and AS.110.302."
35,EN55340101,Introduction to Research,"Aspects of the research process, including reading journal articles, writing mathematics, LaTeX, literature search, problem identification, problem-solving, oral presentations, Beamer, conference attendance, publication of results, and research ethics. An initial research experience, individually and/or in groups, with students identifying and developing projects in the mathematical sciences. Recent research topics have involved percolation, graph domination, Markov chains, birthday problems, gambler’s ruin, integer programming, and rendezvous search problems. Instructor's permission required: Interested students must submit an unofficial transcript, vita, and personal statement to the instructor.  Open only to undergraduates."
36,EN60122001,Intermediate Programming,"This course teaches intermediate to advanced programming, using C and C++. (Prior knowledge of these languages is not expected.) We will cover low-level programming techniques, as well as object-oriented class design, and the use of class libraries. Specific topics include pointers, dynamic memory allocation, polymorphism, overloading, inheritance, templates, collections, exceptions, and others as time permits. Students are expected to learn syntax and some language specific features independently. Course work involves significant programming projects in both languages."
37,EN60135601,Seminar: Computer Integrated Surgery II,"Students may receive credit for EN.601.456 or EN.601.356, but not both. Lecture only version of EN.601.456 (no project). Recommended Course Background: EN.601.455 or instructor permission required."
38,EN60143301,Intro Algorithms,"This course concentrates on the design of algorithms and the rigorous analysis of their efficiency. topics include the basic definitions of algorithmic complexity (worst case, average case); basic tools such as dynamic programming, sorting, searching, and selection; advanced data structures and their applications (such as union-find); graph algorithms and searching techniques such as minimum spanning trees, depth-first search, shortest paths, design of online algorithms and competitive analysis. [Analysis]"
39,EN53021601,Mechanics Based Design Laboratory,This is the laboratory that supports 530.215 Mechanics Based Design.
40,EN60146301,Algorithms for Sensor-Based Robotics,"This course surveys the development of robotic systems for navigating in an environment from an algorithmic perspective. It will cover basic kinematics, configuration space concepts, motion planning, and localization and mapping. It will describe these concepts in the context of the ROS software system, and will present examples relevant to mobile platforms, manipulation, robotics surgery, and human-machine systems. [Analysis] Formerly EN.600.336."
41,EN50011201,Gateway Computing: JAVA,"This course introduces fundamental programming concepts and techniques, and is intended for all who plan to develop computational artifacts or intelligently deploy computational tools in their studies and careers. Topics covered include the design and implementation of algorithms using variables, control structures, arrays, functions, files, testing, debugging, and structured program design. Elements of object-oriented programming. algorithmic efficiency and data visualization are also introduced. Students deploy programming to develop working solutions that address problems in engineering, science and other areas of contemporary interest that vary from section to section. Course homework involves significant programming. Attendance and participation in class sessions are expected."
42,EN53024301,Electronics and Instrumentation Laboratory,This is the laboratory that supports EN.530.241 Electronics and Instrumentation.
43,EN58048801,Foundations of Computational Biology and Bioinformatics,"Friday lab session. Prereq: Math through linear algebra and differential equations, EN.580.221 or equiv., EN.600.226 or equiv.
This course will introduce probabilistic modeling and information theory applied to biological sequence analysis, focusing on statistical models of protein families, alignment algorithms, and models of evolution.  Topics will include probability theory, score matrices, hidden Markov models, maximum likelihood, expectation maximization and dynamic programming algorithms.  Homework assignments will require programming in Python.  Foundations of Computational Biology I is not a prereq."
44,EN55344401,Introduction to Financial Derivatives,This course will develop the mathematical concepts and techniques for modeling cash instruments and their hybrids and derivatives.
45,EN55347201,Graph Theory,"Study of systems of “vertices” with some pairs joined by “edges.” Theory of adjacency, connectivity, traversability, feedback, and other concepts underlying properties important in engineering and the sciences. Topics include paths, cycles, and trees; routing problems associated with Euler and Hamilton; design of graphs realizing specified incidence conditions and other constraints. Attention directed toward problem solving, algorithms, and applications. One or more topics taken up in greater depth."
46,EN53033501,Heat Transfer Laboratory,This is the laboratory that supports 530.334 Heat Transfer.
47,EN53040501,Mechanics of Advanced Engineering Structures,Continuum Mechanics provides a rigorous basis to the study of deformable solids and fluids. Review of vector calculus and tensor analysis. Kinematics of a body. Stress. Conservation laws. Constitutive equations for solids and fluids. Linear elasticity. Energy methods and foundations of the finite element method.
48,EN53012301,Introduction to Mechanics I,"This course offers an in-depth study of the fundamental elements of classical mechanics, including particle and rigid body kinematics and kinetics, and work-energy and momentum principles. Part 1 of a year-long sequence."
49,EN55338501,Numerical Linear Algebra,"A first course on computational linear algebra and applications.  Topics include floating-point arithmetic, algorithms and convergence, Gaussian elimination for linear systems, matrix decompositions (LU, Cholesky, QR), iterative methods for systems (Jacobi, Gauss–Seidel), and approximation of eigenvalues (power method, QR-algorithm).  Theoretical topics such as vector spaces, inner products, norms, linear operators, matrix norms, eigenvalues, and canonical forms of matrices (Jordan, Schur) are reviewed as needed. Matlab is used to solve all numerical exercises; no previous experience with computer programming is required."
50,EN58022101,Biochemistry and Molecular Engineering,"Prereq: 030.101, 030.104  An introduction to modern molecular and cellular biology in the context of potential biomedical engineering applications. Topics covered: reactions between molecules, including receptor-ligand and antigen-antibody specificity, protein structure, enzyme catalysis, genetic information, protein processing and secretion, cell physiology and cell functions. Advanced quantitative treatment including multi-state kinetics, Monte Carlo simulations of biochemical reactions, and transport phenomena."
51,EN55342801,Stochastic Processes and Applications to Finance II,"A basic knowledge of stochastic calculus and Brownian motion is assumed.  Topics include stochastic differential equations, the Feynman-Kac formula and connections to partial differential equations, changes of measure, fundamental theorems of asset pricing, martingale representations, first passage times and pricing of path-dependent options, and jump processes."
52,EN58024301,Linear Signals and Systems,"An introduction to signals and linear systems.  Topics include first and second order systems, linear time variant discrete and continuous systems, convolution, Fourier series, and Fourier transforms.
Recommended background: AS.171.102 and AS.110.201, AS.110.302, or 553.291.  110.302 may be taken at the same time."
53,EN56049201,Civil Engineering Seminar II,S/U grading only.  Seminar series of speakers on various aspects of civil engineering.  Different speakers are invited each semester.  Civil engineering undergraduate students must take at least two semesters of seminar; typically completed in junior year.  Prereq: 560.491
54,EN55331101,Probability and Statistics for the Biological Sciences and Engineering,"An introduction to probability and statistics at the calculus level, intended for students in the biological sciences planning to take only one course on the topics.  This course will be at the same technical level as EN.553.310.  Students are encouraged to consider EN.553.420-430 instead.  Combinatorial probability, independence, conditional probability, random variables, expectation and moments, limit theory, estimation, confidence intervals, hypothesis testing, tests of means and variances, and goodness-of-fit will be covered. Students cannot receive credit for both EN.553.310 and EN.553.311. Students cannot receive credit for EN.553.311 after having received credit for EN.553.420 or En.553.430. Recommended Course Corequisite: AS.110.202"
55,EN58011101,Biomedical Engineering and Design,"BME Freshmen only  -  Working in teams with upperclassmen this course (1) introduces biomedical engineering freshmen to an orderly method for analyzing and modeling biological systems and (2) introduces engineering principles to solve design problems that are biological, physiological, and/or medical.  Freshmen are expected to use the informational content being taught in calculus, physics and chemistry and to apply this knowledge to the solution of practical problems encountered in biomedical engineering."
56,EN60140201,Digital Health and Biomedical Informatics,"Advances in technology are driving a change in medicine, from personalized medicine to population health. Computers and information technology will be critical to this transition. We shall discuss some of the coming changes in terms of computer technology, including computer-based patient records, clinical practice guidelines, and region-wide health information exchanges. We will discuss the underlying technologies driving these developments - databases and warehouses, controlled vocabularies, and decision support."
57,EN53044301,"Fundamentals, Design Principles and Applications of Microfluidic Systems","This course will introduce fundamental physical and chemical principles involved in unique microscale phenomena.  Topics to be covered include issues associated with being in micrometers in science and engineering, fluid mechanics in micro systems, diffusion, surface tension, surfactants, and interfacial forces, Interfacial hydrodynamics, Mechanical properties of materials in microscale.  Students will learn about applications, enabled by the discussed principles.

Recommended Pre-Requisites: EN.530.334 Suggested Pre-Requisites: EN.530.328, EN.580.451"
58,EN60146701,Introduction to Human Language Technology,"This course gives an overview of basic foundations and applications of human language technology, such as: morphological, syntactic, semantic, and pragmatic processing; machine learning; signal processing; speech recognition; speech synthesis; information retrieval; text classification; topic modelling; information
extraction; knowledge representation; machine translation; dialog systems; etc.  [Applications]
Pre-req: EN.601.226 Data Structures; knowledge of Python recommended."
59,EN55343101,Honors Introduction to Statistics,"Introduction to the theory and methodology of mathematical statistics: parametric estimation, including asymptotic properties of estimators and approximation methods; hypothesis testing; analysis of variance; regression; bootstrapping and nonparametrics. Intended for students with a particular interest in the theoretical foundations of statistical procedures."
60,EN60143701,Federated Learning and Analytics,"Federated Learning (FL) is an area of machine learning where data is distributed across multiple devices and training is performed without exchanging the data between devices. FL can be contrasted with classical machine learning settings when data is available in a central location. As such, FL faces additional challenges and limitations such as privacy and communication. For example, FL may deal with questions of learning from sensitive data on mobile devices while protecting privacy of individual users and dealing with low power and limited communication. As a result, FL requires knowledge of many interdisciplinary areas such as differential privacy, distributed optimization, sketching algorithms, compression and more. In this course students will learn basic concepts and algorithms for FL and federated analytics, and gain hands-on experience with new methods and techniques. Students will gain understanding in reasoning about possible trade-offs between privacy, accuracy and communication. [Analysis] ML: DL, linear algebra, probability"
61,EN58045701,Introduction to Rehabilitation Engineering: Design Lab,"The primary objective of this course is to give biomedical engineering students who have completed 580.456 (Intro to Rehab Engineering) the opportunity to apply the knowledge they have 
gained in that course and their prior coursework to the development of a new, improved device to be used for measurement or treatment of an impairment or disability.  In doing so, they will learn
the biomedical engineering design process and its application to persons with disabilities.  Working in groups of four to five, teams will work on a project derived from a needs analysis based on
their visits to rehabilitation centers in the fall semester.  Project will require instructor approval before the beginning of the spring semester.  Each project will consist of a proposal for design of a 
new device or solution to a problem faced by persons with disabilities, preliminary “virtual” (e.g., CAD), and actual proof of concept working prototype.  Projects will be judged by the proposal, prototypes, and in-class presentations."
62,EN55343601,Introduction to Data Science,"Data mining is a relatively new term used in the academic and business world, often associated with the development and quantitative analysis of very large databases. Its definition covers a wide spectrum of analytic and information technology topics, such as machine learning, artificial intelligence, statistical modeling, and efficient database development. This course will review these broad topics, and cover specific analytic and modeling techniques such as advanced data visualization, decision trees, neural networks, nearest neighbor, clustering, logistic regression, and association rules. Although some of the mathematics underlying these techniques will be discussed, our focus will be on the application of the techniques to real data and the interpretation of results. Because use of the computer is extremely important when “mining” large amounts of data, we will make substantial use of data mining software tools to learn the techniques and analyze datasets.
Recommended Course Background: EN.553.413"
63,EN60110501,CS First-year Experience,"This course provides freshmen computer science majors with an introduction to the field and department. A variety of faculty members will provide a mix of historical context and current topics. Classes will be interactive, enabling students to think about and explore topics in a fun way, as well as get to know their classmates. CS non-freshmen and minors may enroll by permission only. Satisfactory/Unsatisfactory only."
64,EN55343201,Bayesian Statistics,"The course will cover Bayesian methods for exploratory data analysis. The emphasis will be on applied data analysis in various disciplines. We will consider a variety of topics, including introduction to Bayesian inference, prior and posterior distribution, hierarchical models, spatial models, longitudinal models, models for categorical data and missing data, model checking and selection, computational methods by Markov Chain Monte Carlo using R or Matlab. We will also cover some nonparametric Bayesian models if time allows, such as Gaussian processes and Dirichlet processes."
65,EN55343301,Monte Carlo Methods,"The objective of the course is to survey essential simulation techniques for popular stochastic models. The stochastic models may include classical time-series models, Markov chains and diffusion models.   The basic simulation techniques covered will be useful in sample-generation of random variables, vectors and stochastic processes, and as advanced techniques, importance sampling, particle filtering and Bayesian computation may be discussed."
66,EN60146101,Computer Vision,"This course gives an overview of fundamental methods in computer vision from a computational perspective. Methods studied include: camera systems and their modelling, computation of 3-D geometry from binocular stereo, motion, and photometric stereo; and object recognition. Edge detection and color perception are covered as well.  Elements of machine vision and biological vision are also included. [Applications]  
Prerequisites (soft): intro programming, linear algebra, and prob/stat."
67,EN58040401,Design Team Project Definition,This course aims to examine the growth and success of cochlear implants as a biotechnology tool in aural rehabilitation. A unique perspective will come from Dr. Ratnanather who has been profoundly hearing impaired since birth via his impending CI surgery in mid-semester and subsequent activation. The course will consist of 10-12 seminars.  Students will learn among other things the auditory system and clinical aspects of cochlear implantation. Each seminar will involve a discussion of one or two key papers and may include a talk by an otologist. The course will conclude with attendance at a day-long session on rehabilitation and music at CI2012 in downtown Baltimore which reflects Johns Hopkins' pre-eminent position in pediatric aural rehabilitation. Pass/Fail Only.
68,EN50030701,Foundations of Multidisciplinary Design,"Students will be introduced to a human-centered design process and creative ways of thinking, which they will use to tackle a design challenge for a project partner. While working on teams with classmates from different engineering disciplines, teams will understand the essential need behind the problem, prototype solutions, test their prototypes, and present a final solution to their project partner. In addition to project work, students will learn to collaborate among different working styles. They will build on their own skills from their discipline while gaining familiarity with skills practiced in other engineering disciplines."
69,EN58020401,Social Justice: Fndts & Personal Commitments,"The course will teach historical concepts from the post civil war years to #blacklivesmatter and will cover key periods in the American experience including Reconstruction, Jim Crow, the
struggle for civil rights, and #blacklivesmatter.
The course emphasizes an understanding of both policy and practice, and engages students in series of case studies, practical frameworks, selected readings, and guest lectures. Students will
contemplate and study the ways in which racial justice plays out across a variety of contexts,
including public spaces, the workplace, school, family and relationships, and public policy. The
series of guest lectures will be delivered by practitioners and leaders in the movement for racial
justice. Ultimately, the course aims to empower students to advance racial justice through self,
individual and systems advocacy. At the end of the course, students can expect to walk away
with a) a broad understanding of the drivers of structural racism, b) models of advocacy in
advancing policy change, c) individual and institutional core competencies for anti-racist
practices.  Recommended background:  an authentic interest in racial justice and models for social change, a willingness to engage in candid, constructive, and challenging conversations and a desire to learn tools with practical applications in the workforce, community
organizing, and social activism."
70,EN55311101,Statistical Analysis I,"First semester of a general survey of statistical methodology. Topics include descriptive statistics, introductory probability, conditional probability, random variables, expectation, sampling, the central limit theorem, classical and robust estimation, confidence intervals, and hypothesis testing. Case studies from psychology, epidemiology, economics  and other fields serve to illustrate the underlying theory. Some use of Minitab, Excel or R, but no prior computing experience is necessary. Recommended Course Background: four years of high school mathematics. Students who may wish to undertake more than two semesters of probability and statistics should consider EN.553.420-EN.553.430."
